transaction_id,customer_id,transaction_date,transaction_type,merchant_category,amount_eur,country,customer_segment
59,182,2025-10-18 01:10:44,Cash Withdrawal,Travel,255.97,Spain,Standard
60,187,2025-09-12 05:07:14,Transfer,Utilities,193.7,UK,Standard
61,340,2025-11-22 03:13:49,Cash Withdrawal,Utilities,107.31,Senegal,Standard
62,842,2025-05-08 02:28:05,Cash Withdrawal,Entertainment,273.51,Senegal,Premium
63,359,2025-08-13 15:16:44,Card Payment,Transport,435.04,France,Premium
64,993,2025-10-07 13:39:57,Card Payment,Travel,150.46,Germany,Standard
65,104,2025-01-18 10:44:14,Online Payment,Utilities,52.98,UK,Standard
66,21,2025-07-12 05:51:30,Card Payment,Transport,26.89,France,Standard
67,750,2025-09-05 01:07:42,Card Payment,Transport,209.39,Senegal,Premium
68,442,2025-01-28 03:41:12,Online Payment,Restaurants,184.16,Senegal,Standard
69,340,2025-10-04 09:39:28,Card Payment,Utilities,125.74,Senegal,Standard
70,677,2025-10-09 17:52:29,Card Payment,Utilities,66.59,UK,Premium
71,158,2025-12-05 22:45:31,Card Payment,Groceries,131.14,UK,Standard
72,615,2025-05-30 02:58:59,Card Payment,Transport,12.59,Senegal,Standard
73,485,2025-12-05 09:38:54,Online Payment,Shopping,236.54,Portugal,Standard
74,94,2025-07-09 06:47:35,Transfer,Travel,119.08,France,Premium
75,457,2025-05-18 20:32:36,Card Payment,Healthcare,142.19,Senegal,Standard
76,64,2025-10-05 15:04:22,Card Payment,Transport,30.28,Spain,Standard
77,995,2025-09-25 15:14:30,Cash Withdrawal,Utilities,168.31,Spain,Standard
78,989,2025-06-03 02:52:28,Transfer,Healthcare,347.9,Senegal,Premium
79,405,2025-10-20 22:35:00,Online Payment,Groceries,153.12,France,Standard
80,151,2025-04-19 07:01:00,Card Payment,Healthcare,56.0,Spain,Standard
81,130,2025-11-18 05:23:02,Card Payment,Transport,593.09,Senegal,Premium
82,855,2025-02-04 03:10:06,Transfer,Entertainment,273.69,Senegal,Standard
83,398,2025-01-07 22:41:05,Transfer,Entertainment,257.7,Senegal,Standard
84,602,2025-10-18 21:24:21,Transfer,Travel,38.19,Germany,Standard
85,597,2025-02-21 10:24:58,Cash Withdrawal,Transport,277.85,Senegal,Standard
86,889,2025-12-02 17:40:46,Transfer,Entertainment,263.98,Senegal,Standard
87,586,2025-11-13 22:09:37,Transfer,Groceries,55.8,France,Standard
88,698,2025-12-20 08:38:59,Transfer,Groceries,121.76,Senegal,Standard
89,51,2025-06-05 11:19:16,Cash Withdrawal,Shopping,269.62,Senegal,Standard
90,288,2025-06-03 16:07:59,Online Payment,Transport,291.89,Portugal,Standard
91,793,2025-02-15 06:50:33,Online Payment,Shopping,220.0,Spain,Standard
92,453,2025-07-11 02:02:47,Card Payment,Travel,223.58,Spain,Standard
93,528,2025-03-11 19:05:19,Cash Withdrawal,Transport,96.78,France,Standard
94,901,2025-01-30 09:05:01,Transfer,Restaurants,61.87,Senegal,Standard
95,34,2025-08-26 18:23:27,Card Payment,Entertainment,851.47,France,Business
96,407,2025-09-08 21:37:42,Transfer,Transport,205.95,Senegal,Standard
97,457,2025-03-25 09:25:03,Card Payment,Healthcare,178.13,Senegal,Standard
98,767,2025-03-25 20:50:07,Online Payment,Transport,178.19,Senegal,Premium
99,799,2025-05-18 23:43:24,Online Payment,Utilities,195.98,Senegal,Standard
100,420,2025-03-30 21:53:12,Transfer,Groceries,144.86,France,Standard
101,821,2025-12-31 23:24:05,Card Payment,Shopping,737.85,Senegal,Business
102,282,2025-04-22 16:59:31,Card Payment,Travel,256.22,France,Standard
103,310,2025-07-11 20:26:31,Transfer,Travel,1418.88,France,Standard
104,663,2025-02-02 12:14:37,Transfer,Shopping,186.1,Portugal,Premium
105,284,2025-11-30 10:52:43,Transfer,Shopping,82.04,Spain,Standard
106,193,2025-11-04 14:42:45,Card Payment,Utilities,270.41,UK,Standard
107,677,2025-06-01 09:26:43,Card Payment,Restaurants,435.56,UK,Premium
108,929,2025-10-20 06:54:52,Card Payment,Travel,444.67,Senegal,Premium
109,352,2025-09-01 13:03:08,Cash Withdrawal,Utilities,414.93,Senegal,Premium
110,520,2025-04-03 10:41:46,Card Payment,Restaurants,505.98,Spain,Premium
111,100,2025-04-04 12:13:12,Card Payment,Shopping,218.93,France,Standard
112,671,2025-08-04 12:03:46,Card Payment,Entertainment,141.76,Germany,Premium
113,381,2025-01-28 23:05:51,Card Payment,Shopping,141.81,Senegal,Standard
114,598,2025-03-03 13:53:46,Transfer,Transport,144.3,Senegal,Standard
115,543,2025-04-13 12:28:34,Card Payment,Groceries,261.9,Senegal,Standard
116,420,2025-04-03 02:56:32,Online Payment,Healthcare,47.25,France,Standard
117,500,2025-08-20 09:57:31,Card Payment,Restaurants,194.91,Spain,Premium
118,215,2025-02-15 04:42:41,Cash Withdrawal,Restaurants,350.0,Senegal,Premium
119,630,2025-07-16 00:10:11,Card Payment,Travel,124.0,France,Standard
120,39,2025-09-29 06:56:19,Transfer,Entertainment,1141.08,France,Business
121,19,2025-06-09 04:41:39,Transfer,Utilities,71.75,Spain,Standard
122,106,2025-06-02 10:35:19,Card Payment,Shopping,54.27,Portugal,Standard
123,467,2025-03-10 12:28:42,Cash Withdrawal,Entertainment,132.93,Senegal,Standard
124,924,2025-07-26 00:41:46,Card Payment,Utilities,53.64,UK,Standard
125,234,2025-09-16 06:09:09,Card Payment,Restaurants,67.3,Senegal,Standard
126,127,2025-10-01 22:41:15,Card Payment,Groceries,115.68,Senegal,Standard
127,50,2025-01-11 01:45:22,Transfer,Groceries,400.56,Senegal,Premium
128,707,2025-08-31 05:34:30,Card Payment,Healthcare,117.17,Portugal,Standard
129,211,2025-12-06 18:56:37,Transfer,Groceries,187.66,Senegal,Premium
130,277,2025-09-19 22:29:22,Transfer,Restaurants,128.55,UK,Standard
131,121,2025-05-15 19:02:49,Card Payment,Transport,151.83,France,Standard
132,997,2025-09-12 07:33:42,Card Payment,Travel,368.51,France,Business
133,705,2025-02-26 20:54:15,Online Payment,Entertainment,255.55,Senegal,Standard
134,686,2025-02-21 09:19:00,Card Payment,Transport,234.96,Senegal,Standard
135,660,2025-03-31 01:26:10,Card Payment,Shopping,331.67,UK,Business
136,873,2025-01-24 00:21:07,Card Payment,Entertainment,261.34,Portugal,Premium
137,873,2025-11-15 09:46:07,Card Payment,Restaurants,203.91,Portugal,Premium
138,900,2025-07-25 14:34:21,Cash Withdrawal,Entertainment,245.41,Senegal,Standard
139,986,2025-08-04 23:37:25,Card Payment,Travel,208.52,UK,Standard
140,908,2025-03-23 03:46:33,Cash Withdrawal,Transport,44.09,France,Standard
141,427,2025-04-03 22:15:27,Online Payment,Healthcare,241.67,France,Standard
142,389,2025-03-08 17:35:18,Cash Withdrawal,Groceries,259.46,Senegal,Standard
143,943,2025-12-02 11:26:27,Card Payment,Travel,270.01,Senegal,Premium
144,13,2025-06-23 18:53:59,Cash Withdrawal,Utilities,586.96,Spain,Premium
145,536,2025-09-04 12:35:18,Transfer,Transport,265.38,France,Premium
146,680,2025-11-10 01:59:12,Transfer,Travel,97.71,Germany,Premium
147,12,2025-09-11 06:01:19,Transfer,Restaurants,154.14,France,Standard
148,77,2025-01-26 18:27:24,Cash Withdrawal,Entertainment,304.25,Senegal,Business
149,229,2025-08-24 16:10:20,Transfer,Travel,123.97,France,Standard
150,821,2025-03-02 18:06:31,Transfer,Transport,1030.78,Senegal,Business
151,764,2025-10-09 00:00:22,Transfer,Transport,124.01,France,Standard
152,846,2025-12-02 16:36:36,Card Payment,Shopping,267.58,France,Standard
153,974,2025-06-19 20:23:40,Card Payment,Groceries,491.79,Senegal,Premium
154,786,2025-08-20 04:09:05,Transfer,Healthcare,432.83,Senegal,Premium
155,100,2025-11-21 10:37:50,Cash Withdrawal,Utilities,5.65,France,Standard
156,561,2025-03-13 14:53:56,Transfer,Transport,18.5,Senegal,Standard
157,110,2025-07-21 07:50:57,Card Payment,Utilities,60.33,France,Standard
158,469,2025-08-01 01:41:34,Online Payment,Utilities,216.45,UK,Standard
159,949,2025-12-04 21:27:22,Transfer,Transport,232.78,UK,Standard
160,980,2025-10-11 15:45:29,Transfer,Healthcare,6.28,Senegal,Standard
161,859,2025-03-07 03:46:13,Transfer,Restaurants,209.09,UK,Standard
162,397,2025-11-08 09:02:17,Transfer,Entertainment,153.71,Senegal,Standard
163,281,2025-03-10 05:01:51,Card Payment,Entertainment,291.3,Portugal,Standard
164,423,2025-06-10 20:09:19,Transfer,Shopping,253.71,Portugal,Standard
165,648,2025-06-26 04:49:49,Card Payment,Utilities,189.13,UK,Standard
166,728,2025-06-15 04:12:06,Transfer,Restaurants,307.3,Germany,Premium
167,780,2025-12-30 15:11:59,Card Payment,Healthcare,353.86,UK,Premium
168,691,2025-01-07 19:01:55,Cash Withdrawal,Shopping,263.86,Germany,Standard
169,110,2025-05-17 05:51:34,Card Payment,Restaurants,20.65,France,Standard
170,294,2025-06-01 07:25:38,Transfer,Restaurants,252.62,Spain,Standard
171,772,2025-12-12 20:27:27,Transfer,Entertainment,245.14,Portugal,Standard
172,886,2025-12-23 10:28:21,Card Payment,Travel,75.09,France,Standard
173,710,2025-12-17 11:23:00,Transfer,Travel,238.66,Senegal,Premium
174,990,2025-08-15 08:12:43,Transfer,Groceries,224.38,Spain,Standard
175,934,2025-11-05 07:09:11,Transfer,Entertainment,227.76,Spain,Standard
176,795,2025-12-16 02:42:40,Cash Withdrawal,Utilities,91.78,Portugal,Standard
177,192,2025-10-12 09:37:14,Online Payment,Transport,116.27,UK,Standard
178,134,2025-03-21 01:27:15,Card Payment,Shopping,13.33,UK,Premium
179,158,2025-12-05 10:57:52,Online Payment,Groceries,233.23,UK,Standard
180,503,2025-09-27 08:00:30,Cash Withdrawal,Entertainment,106.0,Senegal,Business
181,980,2025-10-06 19:33:10,Card Payment,Transport,236.95,Senegal,Standard
182,414,2025-06-19 13:08:10,Card Payment,Utilities,265.6,France,Standard
183,301,2025-11-29 00:19:13,Card Payment,Healthcare,299.01,Portugal,Standard
184,118,2025-11-15 08:52:38,Transfer,Healthcare,75.9,Senegal,Standard
185,982,2025-02-28 14:02:57,Card Payment,Entertainment,117.5,Senegal,Standard
186,263,2025-07-11 18:43:31,Transfer,Shopping,12.29,Senegal,Standard
187,823,2025-04-09 11:39:44,Transfer,Healthcare,35.87,Senegal,Premium
188,527,2025-10-03 19:24:48,Card Payment,Transport,54.38,France,Standard
189,8,2025-12-17 15:26:41,Transfer,Utilities,405.5,Senegal,Premium
190,856,2025-12-18 05:35:52,Card Payment,Travel,391.47,UK,Premium
191,25,2025-04-02 09:10:18,Card Payment,Entertainment,16.18,UK,Standard
192,572,2025-08-19 22:56:43,Card Payment,Utilities,273.74,UK,Standard
193,415,2025-01-04 23:21:12,Card Payment,Groceries,119.9,Spain,Standard
194,738,2025-09-15 03:51:51,Transfer,Groceries,211.76,France,Standard
195,297,2025-08-13 13:53:12,Cash Withdrawal,Shopping,183.94,UK,Standard
196,405,2025-03-11 14:14:08,Online Payment,Groceries,144.83,France,Standard
197,816,2025-12-13 23:35:26,Cash Withdrawal,Shopping,576.48,Senegal,Premium
198,383,2025-03-05 01:31:15,Online Payment,Groceries,168.29,Senegal,Standard
199,6,2025-06-06 07:38:52,Transfer,Travel,326.92,UK,Premium
200,767,2025-09-20 05:11:11,Cash Withdrawal,Entertainment,134.92,Senegal,Premium
201,165,2025-10-18 01:58:48,Card Payment,Shopping,62.33,Germany,Standard
202,872,2025-12-10 02:27:09,Cash Withdrawal,Healthcare,195.18,Senegal,Standard
203,257,2025-12-10 23:51:54,Card Payment,Healthcare,285.7,Portugal,Standard
204,241,2025-08-19 11:57:16,Card Payment,Transport,1082.14,Germany,Business
205,632,2025-06-11 15:35:39,Transfer,Restaurants,171.84,Senegal,Standard
206,173,2025-11-25 15:52:43,Card Payment,Utilities,236.77,Germany,Standard
207,284,2025-09-03 16:51:06,Online Payment,Restaurants,205.48,Spain,Standard
208,457,2025-11-27 22:05:11,Card Payment,Shopping,148.66,Senegal,Standard
209,84,2025-11-17 02:47:02,Online Payment,Restaurants,535.87,UK,Premium
210,745,2025-10-25 21:04:37,Card Payment,Groceries,511.26,France,Premium
211,415,2025-10-06 19:38:56,Cash Withdrawal,Utilities,272.36,Spain,Standard
212,484,2025-10-29 10:35:41,Transfer,Restaurants,225.83,France,Premium
213,138,2025-12-06 08:41:50,Card Payment,Transport,122.05,Germany,Standard
214,869,2025-03-23 06:31:20,Online Payment,Restaurants,228.38,Portugal,Standard
215,580,2025-07-03 01:28:17,Online Payment,Restaurants,222.1,UK,Standard
216,225,2025-01-22 07:31:42,Cash Withdrawal,Utilities,23.54,Senegal,Standard
217,531,2025-01-24 01:27:10,Online Payment,Entertainment,119.49,Spain,Standard
218,665,2025-10-06 20:45:32,Card Payment,Shopping,251.29,UK,Standard
219,179,2025-02-09 18:48:40,Card Payment,Travel,112.76,Senegal,Standard
220,258,2025-06-26 17:43:33,Card Payment,Utilities,629.32,Senegal,Business
221,812,2025-03-26 08:22:25,Card Payment,Groceries,153.04,UK,Standard
222,79,2025-07-05 21:55:08,Transfer,Shopping,67.4,Senegal,Standard
223,735,2025-02-28 17:31:53,Online Payment,Utilities,127.31,France,Standard
224,692,2025-07-30 00:49:02,Card Payment,Utilities,179.28,UK,Standard
225,250,2025-10-21 05:20:49,Card Payment,Restaurants,44.74,Senegal,Standard
226,58,2025-10-16 23:12:54,Card Payment,Restaurants,157.41,Senegal,Standard
227,20,2025-11-07 17:09:49,Online Payment,Shopping,284.44,UK,Standard
228,889,2025-10-26 06:37:19,Card Payment,Utilities,249.96,Senegal,Standard
229,639,2025-08-21 21:43:08,Transfer,Shopping,54.48,UK,Standard
230,605,2025-04-14 19:01:52,Card Payment,Travel,118.71,France,Standard
231,881,2025-04-01 17:19:33,Online Payment,Travel,248.82,UK,Standard
232,924,2025-03-02 03:23:34,Transfer,Groceries,263.94,UK,Standard
233,494,2025-11-29 15:42:37,Transfer,Groceries,269.61,Spain,Standard
234,535,2025-09-04 13:52:49,Card Payment,Groceries,210.8,Senegal,Standard
235,359,2025-04-30 03:03:06,Transfer,Transport,261.04,France,Premium
236,291,2025-01-04 21:02:37,Transfer,Travel,1089.06,France,Premium
237,536,2025-06-11 14:53:08,Card Payment,Groceries,231.27,France,Premium
238,371,2025-10-02 15:25:17,Card Payment,Travel,197.21,Portugal,Standard
239,579,2025-04-15 15:02:42,Card Payment,Shopping,297.58,Senegal,Standard
240,566,2025-09-05 09:14:23,Cash Withdrawal,Healthcare,115.44,France,Premium
241,315,2025-12-04 04:20:08,Transfer,Travel,444.11,Portugal,Premium
242,766,2025-06-23 20:02:45,Card Payment,Restaurants,34.58,UK,Standard
243,629,2025-01-03 03:18:59,Transfer,Groceries,52.42,Portugal,Standard
244,844,2025-07-09 02:54:50,Card Payment,Travel,62.0,UK,Premium
245,624,2025-12-02 18:58:09,Card Payment,Travel,559.1,Senegal,Premium
246,294,2025-11-24 17:59:57,Cash Withdrawal,Groceries,283.99,Spain,Standard
247,450,2025-09-19 18:46:48,Card Payment,Shopping,62.45,Senegal,Standard
248,716,2025-12-02 00:00:37,Card Payment,Restaurants,203.84,Senegal,Standard
249,1000,2025-07-22 14:45:43,Card Payment,Shopping,235.0,Germany,Standard
250,601,2025-02-16 20:00:36,Card Payment,Groceries,222.39,Senegal,Standard
251,292,2025-04-26 22:04:37,Cash Withdrawal,Entertainment,107.51,France,Standard
252,987,2025-07-28 18:25:53,Card Payment,Travel,349.19,France,Premium
253,110,2025-09-20 09:22:56,Transfer,Shopping,105.29,France,Standard
254,898,2025-10-16 17:36:30,Transfer,Shopping,209.79,France,Standard
255,789,2025-08-24 21:21:56,Card Payment,Entertainment,577.13,UK,Premium
256,883,2025-04-23 08:22:17,Card Payment,Transport,81.06,France,Standard
257,820,2025-05-08 10:27:35,Card Payment,Entertainment,1126.9,Spain,Standard
258,96,2025-09-01 11:25:39,Card Payment,Entertainment,27.43,France,Standard
259,363,2025-04-08 18:10:04,Card Payment,Shopping,235.69,Senegal,Business
260,755,2025-04-14 09:05:28,Card Payment,Utilities,262.46,France,Standard
261,857,2025-02-10 17:56:14,Transfer,Restaurants,234.79,Senegal,Standard
262,629,2025-06-11 17:55:32,Card Payment,Groceries,255.16,Portugal,Standard
263,920,2025-09-19 10:12:15,Online Payment,Shopping,299.58,UK,Premium
264,408,2025-09-02 19:41:19,Card Payment,Restaurants,20.97,Senegal,Standard
265,34,2025-08-23 04:22:56,Transfer,Travel,1035.27,France,Business
266,716,2025-10-25 03:40:05,Transfer,Entertainment,844.47,Senegal,Standard
267,334,2025-05-18 17:09:40,Card Payment,Shopping,120.42,UK,Premium
268,982,2025-08-03 13:33:19,Transfer,Entertainment,59.25,Senegal,Standard
269,374,2025-10-22 08:19:18,Online Payment,Shopping,137.97,Senegal,Standard
270,834,2025-07-15 07:08:18,Card Payment,Shopping,242.21,Senegal,Standard
271,150,2025-03-10 22:57:40,Online Payment,Restaurants,738.21,UK,Standard
272,530,2025-10-15 20:40:27,Transfer,Entertainment,236.67,Senegal,Standard
273,49,2025-09-01 22:55:57,Card Payment,Restaurants,22.71,Portugal,Standard
274,99,2025-10-13 09:22:59,Card Payment,Entertainment,81.63,Portugal,Standard
275,353,2025-11-07 07:14:37,Card Payment,Transport,217.14,UK,Premium
276,591,2025-06-16 18:35:04,Transfer,Restaurants,587.83,Senegal,Premium
277,500,2025-05-27 16:53:04,Cash Withdrawal,Healthcare,534.88,Spain,Premium
278,647,2025-08-04 22:59:02,Online Payment,Restaurants,775.89,Senegal,Business
279,628,2025-06-10 11:32:13,Transfer,Transport,28.34,Spain,Standard
280,669,2025-08-16 13:13:20,Card Payment,Shopping,183.59,Senegal,Standard
281,766,2025-01-12 04:33:09,Transfer,Healthcare,127.13,UK,Standard
282,746,2025-02-10 07:40:00,Card Payment,Shopping,564.86,UK,Premium
283,171,2025-10-08 01:57:35,Card Payment,Transport,47.64,Spain,Premium
284,27,2025-02-13 23:50:30,Cash Withdrawal,Transport,71.32,Spain,Premium
285,954,2025-08-15 22:48:34,Online Payment,Shopping,145.32,Senegal,Premium
286,130,2025-06-16 17:20:10,Card Payment,Restaurants,26.86,Senegal,Premium
287,479,2025-12-24 19:38:05,Online Payment,Shopping,166.82,UK,Standard
288,182,2025-10-16 15:50:13,Transfer,Healthcare,191.16,Spain,Standard
289,537,2025-04-27 03:15:38,Transfer,Shopping,546.26,France,Premium
290,453,2025-01-01 19:03:12,Card Payment,Travel,81.64,Spain,Standard
291,835,2025-01-05 17:54:38,Cash Withdrawal,Restaurants,212.89,Germany,Premium
292,970,2025-05-30 21:44:10,Cash Withdrawal,Shopping,7.69,Spain,Standard
293,237,2025-08-12 14:22:20,Cash Withdrawal,Entertainment,60.63,Senegal,Standard
294,256,2025-02-10 15:22:23,Card Payment,Travel,249.39,France,Standard
295,641,2025-05-18 15:02:00,Card Payment,Shopping,88.98,UK,Standard
296,193,2025-08-22 22:29:27,Online Payment,Restaurants,45.3,UK,Standard
297,464,2025-10-01 00:48:20,Card Payment,Healthcare,196.18,UK,Standard
298,191,2025-01-05 08:28:34,Online Payment,Shopping,84.41,Portugal,Standard
299,93,2025-09-13 13:31:19,Card Payment,Healthcare,69.07,Senegal,Standard
300,475,2025-03-16 02:02:25,Transfer,Groceries,102.42,Senegal,Standard
301,273,2025-05-09 13:53:34,Cash Withdrawal,Transport,165.24,Portugal,Standard
302,849,2025-05-07 01:13:12,Card Payment,Utilities,118.52,Senegal,Standard
303,204,2025-08-31 14:10:03,Card Payment,Transport,158.74,Senegal,Standard
304,698,2025-10-09 18:57:58,Online Payment,Entertainment,51.79,Senegal,Standard
305,126,2025-12-08 07:55:45,Card Payment,Shopping,127.25,Spain,Premium
306,997,2025-05-22 21:17:17,Card Payment,Travel,402.93,France,Business
307,123,2025-12-20 17:18:14,Card Payment,Utilities,30.54,Spain,Business
308,705,2025-09-13 03:19:40,Transfer,Entertainment,232.39,Senegal,Standard
309,703,2025-12-26 19:31:40,Transfer,Groceries,22.63,Germany,Standard
310,811,2025-11-27 12:38:43,Card Payment,Healthcare,73.64,France,Standard
311,825,2025-03-10 09:07:39,Online Payment,Utilities,11.3,Senegal,Standard
312,921,2025-09-08 06:54:34,Card Payment,Healthcare,339.82,Spain,Premium
313,581,2025-11-03 20:11:22,Card Payment,Entertainment,100.49,Senegal,Standard
314,165,2025-10-05 13:21:58,Card Payment,Restaurants,137.57,Germany,Standard
315,465,2025-11-14 13:15:20,Card Payment,Travel,221.43,Portugal,Standard
316,795,2025-10-03 14:06:29,Transfer,Entertainment,217.7,Portugal,Standard
317,195,2025-05-25 11:44:43,Transfer,Healthcare,230.89,Senegal,Standard
318,420,2025-01-23 04:43:29,Transfer,Transport,33.4,France,Standard
319,183,2025-01-17 20:47:23,Online Payment,Utilities,36.58,UK,Standard
320,658,2025-05-12 01:47:13,Online Payment,Healthcare,320.23,France,Premium
321,376,2025-12-02 17:53:29,Card Payment,Transport,8.86,Senegal,Standard
322,951,2025-07-04 20:19:00,Online Payment,Transport,143.08,Spain,Standard
323,762,2025-01-30 22:27:42,Online Payment,Travel,247.5,France,Standard
324,273,2025-04-21 18:54:49,Transfer,Transport,251.16,Portugal,Standard
325,100,2025-09-27 23:54:58,Card Payment,Utilities,161.84,France,Standard
326,255,2025-02-24 23:15:05,Transfer,Restaurants,339.47,UK,Premium
327,591,2025-02-23 06:04:24,Card Payment,Healthcare,424.5,Senegal,Premium
328,812,2025-10-01 21:50:32,Card Payment,Travel,153.88,UK,Standard
329,454,2025-07-10 15:00:46,Online Payment,Entertainment,167.27,Senegal,Standard
330,783,2025-04-20 13:39:20,Transfer,Entertainment,368.96,UK,Premium
331,785,2025-07-23 00:00:25,Transfer,Shopping,111.2,UK,Standard
332,744,2025-06-04 00:14:20,Card Payment,Shopping,180.75,Portugal,Standard
333,308,2025-12-20 10:02:50,Online Payment,Utilities,257.44,France,Standard
334,942,2025-03-21 05:02:21,Transfer,Restaurants,32.81,Germany,Standard
335,272,2025-02-17 20:46:14,Card Payment,Utilities,73.73,France,Standard
336,410,2025-09-05 06:17:42,Transfer,Utilities,221.61,France,Standard
337,500,2025-10-23 13:53:30,Online Payment,Transport,361.19,Spain,Premium
338,81,2025-08-02 04:23:19,Cash Withdrawal,Entertainment,430.56,France,Business
339,891,2025-01-28 11:05:48,Cash Withdrawal,Groceries,192.0,UK,Standard
340,537,2025-03-20 01:50:21,Card Payment,Restaurants,202.83,France,Premium
341,690,2025-10-22 18:22:35,Cash Withdrawal,Travel,291.46,UK,Standard
342,93,2025-06-22 03:00:19,Card Payment,Shopping,236.98,Senegal,Standard
343,488,2025-07-24 18:16:14,Transfer,Groceries,166.7,Senegal,Standard
344,445,2025-04-12 17:45:44,Cash Withdrawal,Restaurants,229.8,France,Standard
345,405,2025-09-26 08:57:55,Transfer,Utilities,170.54,France,Standard
346,249,2025-02-15 04:05:49,Card Payment,Travel,100.41,Senegal,Standard
