transaction_amount,transaction_hour,customer_transaction_count,customer_average_amount,international_transaction,failed_transactions,amount_deviation,amount_ratio,high_amount_flag,night_transaction,failed_transaction_ratio,actual_fraud,fraud_probability,risk_score,risk_level
116.01,0,12,98.34,0,2,17.67,1.1796827333740085,0,1,0.16666666666666666,0,0.345,34.5,Medium Risk
176.04,17,11,31.77,1,4,144.26999999999998,5.541076487252124,1,0,0.36363636363636365,0,0.345,34.5,Medium Risk
519.82,17,36,115.73,0,0,404.09000000000003,4.491661626198912,1,0,0.0,0,0.345,34.5,Medium Risk
523.67,5,16,32.08,0,2,491.59,16.323877805486283,1,1,0.125,0,0.345,34.5,Medium Risk
168.48,1,1,89.98,0,2,78.49999999999999,1.872416092464992,0,1,2.0,0,0.345,34.5,Medium Risk
41.28,17,5,248.55,0,0,-207.27,0.16608328304164152,0,0,0.0,0,0.34,34.0,Medium Risk
356.26,15,11,26.64,0,3,329.62,13.373123123123122,1,0,0.2727272727272727,0,0.335,33.5,Medium Risk
934.18,13,1,101.6,0,1,832.5799999999999,9.194685039370079,1,0,1.0,0,0.335,33.5,Medium Risk
361.14,2,20,195.21,0,3,165.92999999999998,1.85000768403258,0,1,0.15,0,0.33,33.0,Medium Risk
761.65,22,33,29.0,0,3,732.65,26.263793103448275,1,0,0.09090909090909091,0,0.33,33.0,Medium Risk
220.93,10,8,88.48,1,3,132.45,2.4969484629294754,1,0,0.375,0,0.325,32.5,Medium Risk
389.95,10,24,131.79,1,2,258.15999999999997,2.9588739661582824,1,0,0.08333333333333333,0,0.325,32.5,Medium Risk
328.74,3,20,91.32,0,0,237.42000000000002,3.599868593955322,1,1,0.0,0,0.325,32.5,Medium Risk
512.31,3,1,89.61,0,1,422.69999999999993,5.717107465684633,1,1,1.0,0,0.32,32.0,Medium Risk
61.79,0,25,113.21,0,1,-51.419999999999995,0.5457998410034449,0,1,0.04,0,0.32,32.0,Medium Risk
130.46,21,16,144.69,0,1,-14.22999999999999,0.9016518073121847,0,0,0.0625,0,0.315,31.5,Medium Risk
716.62,8,24,63.74,0,2,652.88,11.242861625352996,1,0,0.08333333333333333,0,0.315,31.5,Medium Risk
299.2,18,15,200.54,0,2,98.66,1.4919716764735216,0,0,0.13333333333333333,0,0.315,31.5,Medium Risk
1054.25,1,10,50.32,0,2,1003.93,20.950914149443562,1,1,0.2,1,0.31,31.0,Medium Risk
779.06,18,28,55.63,0,3,723.43,14.00431421894661,1,0,0.10714285714285714,0,0.305,30.5,Medium Risk
363.38,5,16,115.71,1,2,247.67000000000002,3.1404373001469192,1,1,0.125,0,0.305,30.5,Medium Risk
383.11,21,21,115.6,1,3,267.51,3.3141003460207616,1,0,0.14285714285714285,0,0.3,30.0,Low Risk
175.14,15,12,93.76,0,4,81.37999999999998,1.867960750853242,0,0,0.3333333333333333,0,0.3,30.0,Low Risk
444.66,10,36,106.31,1,1,338.35,4.182673313893331,1,0,0.027777777777777776,0,0.3,30.0,Low Risk
186.96,10,23,51.22,0,1,135.74,3.650136665365092,1,0,0.043478260869565216,0,0.295,29.5,Low Risk
49.6,1,25,330.68,1,3,-281.08,0.14999395185677997,0,1,0.12,0,0.295,29.5,Low Risk
178.23,7,26,95.73,0,1,82.49999999999999,1.8617988091507363,0,0,0.038461538461538464,0,0.295,29.5,Low Risk
904.25,23,14,102.3,0,1,801.95,8.83919843597263,1,1,0.07142857142857142,1,0.295,29.5,Low Risk
1099.47,14,1,253.13,0,2,846.34,4.343499387666417,1,0,2.0,1,0.29,28.999999999999996,Low Risk
499.96,0,23,47.27,1,1,452.69,10.576687116564417,1,1,0.043478260869565216,0,0.29,28.999999999999996,Low Risk
393.3,15,15,118.93,0,4,274.37,3.306987303455814,1,0,0.26666666666666666,0,0.29,28.999999999999996,Low Risk
298.01,13,12,163.83,0,4,134.17999999999998,1.8190197155588108,0,0,0.3333333333333333,0,0.29,28.999999999999996,Low Risk
71.71,11,18,120.89,0,3,-49.18000000000001,0.5931838861775167,0,0,0.16666666666666666,0,0.285,28.499999999999996,Low Risk
540.41,23,26,83.98,1,0,456.42999999999995,6.434984520123838,1,1,0.0,0,0.285,28.499999999999996,Low Risk
492.48,18,20,58.87,1,2,433.61,8.365551214540513,1,0,0.1,0,0.285,28.499999999999996,Low Risk
840.74,15,12,151.79,0,0,688.95,5.538836550497398,1,0,0.0,0,0.285,28.499999999999996,Low Risk
753.11,19,12,62.57,0,0,690.54,12.036279367108838,1,0,0.0,0,0.28,28.000000000000004,Low Risk
320.39,12,22,92.76,1,0,227.63,3.453967227253126,1,0,0.0,0,0.28,28.000000000000004,Low Risk
555.86,21,29,58.5,0,1,497.36,9.501880341880343,1,0,0.034482758620689655,0,0.28,28.000000000000004,Low Risk
47.79,3,24,74.42,1,2,-26.630000000000003,0.6421660843859177,0,1,0.08333333333333333,0,0.28,28.000000000000004,Low Risk
100.49,7,42,95.91,0,0,4.579999999999998,1.047753101866333,0,0,0.0,0,0.28,28.000000000000004,Low Risk
52.98,16,8,90.02,0,1,-37.04,0.5885358809153521,0,0,0.125,0,0.275,27.500000000000004,Low Risk
395.12,10,19,152.37,1,3,242.75,2.5931613834744374,1,0,0.15789473684210525,0,0.275,27.500000000000004,Low Risk
163.9,23,24,94.96,0,2,68.94000000000001,1.7259898904802025,0,1,0.08333333333333333,0,0.275,27.500000000000004,Low Risk
201.1,0,23,211.58,0,3,-10.480000000000018,0.95046790811986,0,1,0.13043478260869565,0,0.275,27.500000000000004,Low Risk
79.71,13,25,140.5,1,3,-60.790000000000006,0.5673309608540925,0,0,0.12,0,0.275,27.500000000000004,Low Risk
131.33,21,26,289.76,0,1,-158.42999999999998,0.45323716178906687,0,0,0.038461538461538464,0,0.275,27.500000000000004,Low Risk
533.49,8,17,44.36,0,3,489.13,12.026375112714158,1,0,0.17647058823529413,0,0.275,27.500000000000004,Low Risk
19.97,5,26,120.25,1,0,-100.28,0.16607068607068606,0,1,0.0,0,0.275,27.500000000000004,Low Risk
95.1,6,25,108.56,1,0,-13.460000000000008,0.8760132645541635,0,0,0.0,0,0.275,27.500000000000004,Low Risk
285.46,21,13,190.75,1,2,94.70999999999998,1.4965137614678898,0,0,0.15384615384615385,0,0.27,27.0,Low Risk
306.58,18,10,162.79,1,1,143.79,1.883285214079489,0,0,0.1,0,0.27,27.0,Low Risk
33.81,4,11,67.12,0,3,-33.31,0.5037246722288439,0,1,0.2727272727272727,0,0.265,26.5,Low Risk
249.89,2,15,280.11,0,2,-30.220000000000027,0.8921138124308307,0,1,0.13333333333333333,0,0.265,26.5,Low Risk
536.23,8,29,134.01,0,0,402.22,4.001417804641445,1,0,0.0,1,0.265,26.5,Low Risk
528.61,22,1,145.34,1,1,383.27,3.637057933122334,1,0,1.0,0,0.26,26.0,Low Risk
338.58,21,7,164.24,1,2,174.33999999999997,2.061495372625426,1,0,0.2857142857142857,1,0.255,25.5,Low Risk
32.29,15,10,179.94,1,0,-147.65,0.17944870512393019,0,0,0.0,1,0.255,25.5,Low Risk
453.15,13,16,90.11,0,1,363.03999999999996,5.02885362334924,1,0,0.0625,0,0.25,25.0,Low Risk
181.19,18,8,54.61,1,1,126.58,3.317890496246109,1,0,0.125,0,0.25,25.0,Low Risk
99.24,16,8,51.81,0,2,47.42999999999999,1.9154603358425013,0,0,0.25,0,0.25,25.0,Low Risk
156.45,3,13,113.63,1,1,42.81999999999999,1.376837102877761,0,1,0.07692307692307693,0,0.25,25.0,Low Risk
391.48,7,30,136.79,1,3,254.69000000000003,2.8619051100226627,1,0,0.1,0,0.245,24.5,Low Risk
720.82,16,34,84.27,0,2,636.5500000000001,8.55369645188086,1,0,0.058823529411764705,0,0.245,24.5,Low Risk
355.74,12,10,25.95,0,2,329.79,13.708670520231214,1,0,0.2,0,0.24,24.0,Low Risk
32.83,16,8,243.98,0,0,-211.14999999999998,0.13456020985326667,0,0,0.0,0,0.24,24.0,Low Risk
474.89,8,17,107.19,0,0,367.7,4.430357309450509,1,0,0.0,0,0.24,24.0,Low Risk
392.88,20,9,94.52,0,2,298.36,4.156580617858654,1,0,0.2222222222222222,0,0.24,24.0,Low Risk
91.66,4,38,109.62,0,1,-17.960000000000008,0.8361612844371464,0,1,0.02631578947368421,0,0.24,24.0,Low Risk
26.38,1,29,41.46,0,1,-15.080000000000002,0.6362759286058851,0,1,0.034482758620689655,0,0.24,24.0,Low Risk
81.38,6,7,143.04,1,3,-61.66,0.5689317673378076,0,0,0.42857142857142855,0,0.24,24.0,Low Risk
14.96,13,20,91.28,1,0,-76.32,0.16389132340052587,0,0,0.0,0,0.235,23.5,Low Risk
86.38,8,15,153.6,1,2,-67.22,0.5623697916666667,0,0,0.13333333333333333,0,0.235,23.5,Low Risk
205.63,7,5,75.13,0,0,130.5,2.7369892186876084,1,0,0.0,0,0.235,23.5,Low Risk
410.13,1,33,185.78,0,3,224.35,2.207611152976639,1,1,0.09090909090909091,0,0.23,23.0,Low Risk
57.51,2,25,132.4,0,1,-74.89000000000001,0.43436555891238665,0,1,0.04,0,0.23,23.0,Low Risk
531.99,9,23,102.5,0,1,429.49,5.190146341463414,1,0,0.043478260869565216,0,0.23,23.0,Low Risk
130.97,0,21,190.69,0,1,-59.72,0.6868215428181866,0,1,0.047619047619047616,0,0.23,23.0,Low Risk
880.11,11,21,58.5,0,0,821.61,15.044615384615385,1,0,0.0,0,0.225,22.5,Low Risk
522.04,11,4,136.23,0,5,385.80999999999995,3.832048741099611,1,0,1.25,0,0.225,22.5,Low Risk
337.74,6,26,199.88,1,2,137.86,1.6897138282969784,0,0,0.07692307692307693,0,0.225,22.5,Low Risk
64.68,21,9,115.76,0,2,-51.08,0.5587422252937112,0,0,0.2222222222222222,0,0.225,22.5,Low Risk
133.31,6,24,51.98,0,1,81.33000000000001,2.5646402462485574,1,0,0.041666666666666664,0,0.22,22.0,Low Risk
75.15,14,16,89.58,0,4,-14.429999999999993,0.8389149363697255,0,0,0.25,0,0.22,22.0,Low Risk
80.63,2,21,146.9,1,2,-66.27000000000001,0.5488767869298842,0,1,0.09523809523809523,0,0.22,22.0,Low Risk
128.38,2,20,234.15,0,1,-105.77000000000001,0.5482810164424514,0,1,0.05,0,0.22,22.0,Low Risk
78.6,0,36,124.96,0,1,-46.36,0.6290012804097311,0,1,0.027777777777777776,1,0.22,22.0,Low Risk
174.86,18,15,75.63,1,0,99.23000000000002,2.31204548459606,1,0,0.0,0,0.22,22.0,Low Risk
515.02,23,20,121.62,0,3,393.4,4.23466535109357,1,1,0.15,0,0.22,22.0,Low Risk
288.55,4,29,53.27,0,1,235.28,5.416744884550403,1,1,0.034482758620689655,0,0.22,22.0,Low Risk
117.72,3,17,59.78,0,4,57.94,1.969220475075276,0,1,0.23529411764705882,0,0.215,21.5,Low Risk
163.45,11,21,42.59,1,0,120.85999999999999,3.83775534162949,1,0,0.0,0,0.215,21.5,Low Risk
199.76,6,17,58.32,0,2,141.44,3.4252400548696844,1,0,0.11764705882352941,0,0.215,21.5,Low Risk
652.21,18,21,104.78,0,1,547.4300000000001,6.2245657568238215,1,0,0.047619047619047616,0,0.215,21.5,Low Risk
193.47,7,31,51.33,0,2,142.14,3.7691408533021624,1,0,0.06451612903225806,0,0.21,21.0,Low Risk
305.58,2,4,84.69,1,1,220.89,3.6082182075805878,1,1,0.25,0,0.21,21.0,Low Risk
164.02,1,23,117.94,1,2,46.08000000000001,1.390707139223334,0,1,0.08695652173913043,0,0.21,21.0,Low Risk
106.19,8,15,55.89,0,3,50.3,1.8999821077115762,0,0,0.2,0,0.21,21.0,Low Risk
372.22,11,29,113.95,1,4,258.27000000000004,3.2665204036858273,1,0,0.13793103448275862,0,0.21,21.0,Low Risk
683.89,1,1,81.26,0,1,602.63,8.416071868077774,1,1,1.0,0,0.21,21.0,Low Risk
116.35,2,9,149.9,0,1,-33.55000000000001,0.7761841227484989,0,1,0.1111111111111111,0,0.205,20.5,Low Risk
508.62,10,22,89.02,0,2,419.6,5.7135475174118175,1,0,0.09090909090909091,0,0.205,20.5,Low Risk
62.22,3,27,71.65,1,1,-9.430000000000007,0.8683879972086531,0,1,0.037037037037037035,0,0.205,20.5,Low Risk
204.23,17,18,68.97,0,0,135.26,2.961142525735827,1,0,0.0,0,0.205,20.5,Low Risk
318.48,6,36,169.7,0,1,148.78000000000003,1.87672362993518,0,0,0.027777777777777776,0,0.205,20.5,Low Risk
316.24,7,9,146.96,1,1,169.28,2.151878062057703,1,0,0.1111111111111111,0,0.205,20.5,Low Risk
191.3,7,29,101.87,0,3,89.43,1.8778835771080788,0,0,0.10344827586206896,0,0.205,20.5,Low Risk
490.73,3,44,125.25,0,1,365.48,3.918003992015968,1,1,0.022727272727272728,1,0.2,20.0,Low Risk
223.21,16,30,103.84,1,0,119.37,2.1495570107858244,1,0,0.0,1,0.2,20.0,Low Risk
489.0,13,8,135.17,0,0,353.83000000000004,3.6176666420063626,1,0,0.0,0,0.2,20.0,Low Risk
731.61,4,20,227.0,0,0,504.61,3.2229515418502204,1,1,0.0,1,0.2,20.0,Low Risk
168.19,7,19,136.05,0,3,32.139999999999986,1.2362366776920248,0,0,0.15789473684210525,0,0.2,20.0,Low Risk
135.77,22,26,146.54,0,3,-10.769999999999982,0.9265047086119832,0,0,0.11538461538461539,0,0.2,20.0,Low Risk
499.58,14,2,46.75,0,2,452.83,10.68620320855615,1,0,1.0,0,0.2,20.0,Low Risk
154.8,0,28,94.22,0,1,60.58000000000001,1.6429632774357887,0,1,0.03571428571428571,0,0.2,20.0,Low Risk
98.68,3,11,120.99,1,2,-22.309999999999988,0.8156045954211093,0,1,0.18181818181818182,0,0.2,20.0,Low Risk
64.51,0,23,33.59,1,0,30.92,1.920512057159869,0,1,0.0,0,0.195,19.5,Low Risk
214.11,19,18,96.35,0,4,117.76000000000002,2.2222106901920085,1,0,0.2222222222222222,0,0.195,19.5,Low Risk
437.59,5,27,91.72,0,0,345.87,4.770933275185347,1,1,0.0,0,0.195,19.5,Low Risk
535.33,17,4,111.82,0,1,423.51000000000005,4.787426220711859,1,0,0.25,0,0.195,19.5,Low Risk
85.5,13,5,86.73,0,3,-1.230000000000004,0.9858180560359736,0,0,0.6,0,0.195,19.5,Low Risk
286.39,11,6,102.83,1,4,183.56,2.7850821744627052,1,0,0.6666666666666666,0,0.195,19.5,Low Risk
24.12,12,21,99.83,0,3,-75.71,0.24161073825503357,0,0,0.14285714285714285,0,0.195,19.5,Low Risk
170.5,17,30,295.07,0,1,-124.57,0.5778289897312502,0,0,0.03333333333333333,0,0.195,19.5,Low Risk
162.3,1,22,117.77,1,0,44.530000000000015,1.3781098751804366,0,1,0.0,0,0.195,19.5,Low Risk
85.22,21,29,177.59,0,0,-92.37,0.4798693620136269,0,0,0.0,0,0.19,19.0,Low Risk
506.39,17,33,151.62,1,0,354.77,3.339862814932067,1,0,0.0,0,0.19,19.0,Low Risk
365.69,2,21,270.42,0,2,95.26999999999998,1.3523038236816802,0,1,0.09523809523809523,0,0.19,19.0,Low Risk
358.59,2,24,215.66,1,1,142.92999999999998,1.6627561902995456,0,1,0.041666666666666664,0,0.19,19.0,Low Risk
126.89,0,12,108.61,0,2,18.28,1.1683086271982321,0,1,0.16666666666666666,0,0.19,19.0,Low Risk
337.27,16,12,205.85,0,0,131.42,1.6384260383774594,0,0,0.0,0,0.19,19.0,Low Risk
182.88,6,22,95.08,1,2,87.8,1.9234328986116953,0,0,0.09090909090909091,0,0.19,19.0,Low Risk
162.89,3,16,303.99,0,2,-141.10000000000002,0.5358399947366689,0,1,0.125,0,0.19,19.0,Low Risk
651.24,11,1,79.06,0,2,572.1800000000001,8.23728813559322,1,0,2.0,0,0.19,19.0,Low Risk
360.48,16,17,165.36,1,4,195.12,2.1799709724238023,1,0,0.23529411764705882,1,0.19,19.0,Low Risk
416.84,0,33,221.31,0,2,195.52999999999997,1.883511816004699,0,1,0.06060606060606061,0,0.185,18.5,Low Risk
154.93,3,29,101.9,0,0,53.03,1.5204121687929342,0,1,0.0,0,0.185,18.5,Low Risk
128.75,21,28,138.66,0,2,-9.909999999999997,0.9285302177989326,0,0,0.07142857142857142,0,0.185,18.5,Low Risk
238.21,1,1,241.65,0,1,-3.4399999999999977,0.9857645354852059,0,1,1.0,0,0.185,18.5,Low Risk
76.18,22,22,166.41,0,1,-90.22999999999999,0.45778498888287966,0,0,0.045454545454545456,0,0.18,18.0,Low Risk
351.13,4,16,109.66,0,3,241.47,3.201987962794091,1,1,0.1875,0,0.18,18.0,Low Risk
224.37,6,21,100.34,0,0,124.03,2.236097269284433,1,0,0.0,0,0.18,18.0,Low Risk
154.16,3,16,183.9,1,1,-29.74000000000001,0.8382816748232734,0,1,0.0625,0,0.18,18.0,Low Risk
640.95,5,20,185.88,0,3,455.07000000000005,3.4481923821820533,1,1,0.15,0,0.18,18.0,Low Risk
319.2,18,14,282.65,0,1,36.55000000000001,1.1293118698036442,0,0,0.07142857142857142,0,0.18,18.0,Low Risk
28.18,3,27,51.99,0,3,-23.810000000000002,0.542027312944797,0,1,0.1111111111111111,0,0.18,18.0,Low Risk
37.76,0,8,54.08,0,3,-16.32,0.6982248520710059,0,1,0.375,0,0.18,18.0,Low Risk
111.57,20,31,217.66,0,0,-106.09,0.5125884406873105,0,0,0.0,0,0.18,18.0,Low Risk
653.94,5,19,175.78,0,2,478.1600000000001,3.7202184548867905,1,1,0.10526315789473684,1,0.18,18.0,Low Risk
331.49,19,11,253.74,0,3,77.75,1.3064160163947347,0,0,0.2727272727272727,0,0.18,18.0,Low Risk
200.25,17,1,43.14,1,4,157.11,4.641863699582753,1,0,4.0,0,0.175,17.5,Low Risk
164.07,9,18,129.67,0,3,34.400000000000006,1.265288810056297,0,0,0.16666666666666666,0,0.175,17.5,Low Risk
297.47,4,18,159.12,0,1,138.35000000000002,1.8694695827048768,0,1,0.05555555555555555,1,0.175,17.5,Low Risk
398.77,23,1,96.31,0,1,302.46,4.140483854220745,1,1,1.0,0,0.175,17.5,Low Risk
75.97,4,25,50.01,1,0,25.96,1.5190961807638472,0,1,0.0,0,0.175,17.5,Low Risk
194.62,3,16,113.95,1,1,80.67,1.7079420798595875,0,1,0.0625,0,0.175,17.5,Low Risk
495.04,12,13,87.93,0,2,407.11,5.629932901171387,1,0,0.15384615384615385,0,0.175,17.5,Low Risk
378.21,3,19,102.01,0,0,276.2,3.707577688461915,1,1,0.0,0,0.175,17.5,Low Risk
56.0,4,14,87.11,0,2,-31.11,0.6428653426701871,0,1,0.14285714285714285,0,0.175,17.5,Low Risk
425.02,15,4,246.89,1,4,178.13,1.7214954028109686,0,0,1.0,0,0.175,17.5,Low Risk
339.88,22,4,60.25,1,2,279.63,5.641161825726141,1,0,0.5,0,0.175,17.5,Low Risk
182.29,20,19,47.6,0,1,134.69,3.8296218487394955,1,0,0.05263157894736842,0,0.175,17.5,Low Risk
47.62,3,22,67.08,1,3,-19.46,0.7098986285032797,0,1,0.13636363636363635,0,0.175,17.5,Low Risk
49.21,12,5,82.3,0,4,-33.089999999999996,0.5979343863912515,0,0,0.8,0,0.175,17.5,Low Risk
253.19,11,16,159.1,0,2,94.09,1.5913890634820869,0,0,0.125,0,0.17,17.0,Low Risk
267.73,4,25,52.48,0,0,215.25000000000003,5.101562500000001,1,1,0.0,0,0.17,17.0,Low Risk
340.49,2,15,128.56,0,2,211.93,2.648490976975731,1,1,0.13333333333333333,0,0.17,17.0,Low Risk
266.78,23,12,33.81,1,3,232.96999999999997,7.890564921620821,1,1,0.25,0,0.17,17.0,Low Risk
122.04,7,20,232.76,0,1,-110.71999999999998,0.5243168929369308,0,0,0.05,0,0.17,17.0,Low Risk
176.99,6,11,100.31,0,0,76.68,1.764430266174858,0,0,0.0,0,0.17,17.0,Low Risk
