transaction_id,customer_id,transaction_amount,country,transaction_type,device,transaction_hour,customer_transaction_count,customer_average_amount,international_transaction,failed_transactions,fraud
125,811,222.65,Germany,Card Payment,Tablet,7,10,185.26,0,2,0
126,3386,359.43,France,Card Payment,Mobile,5,9,80.82,0,2,0
127,3377,205.1,Spain,Cash Withdrawal,Web,3,19,130.06,0,2,0
128,1649,49.38,United Kingdom,Online Payment,Web,2,37,156.67,0,2,0
129,3009,547.64,United Kingdom,Cash Withdrawal,Mobile,2,33,285.98,0,3,0
130,3525,80.72,Spain,Card Payment,Tablet,8,20,211.98,0,2,0
131,718,286.23,Germany,Online Payment,Web,5,14,183.34,0,2,0
132,3336,18.98,Germany,Card Payment,Web,11,16,299.29,0,1,0
133,429,99.82,France,Cash Withdrawal,Web,22,17,21.8,0,2,0
134,1641,116.35,Spain,Card Payment,Web,2,9,149.9,0,1,0
135,3974,64.12,Germany,Card Payment,Tablet,17,18,109.99,0,1,0
136,2124,137.91,United Kingdom,Online Payment,Tablet,14,12,164.77,0,1,0
137,2250,949.51,France,Cash Withdrawal,Web,22,8,252.94,0,1,1
138,2581,14.48,Spain,Transfer,Tablet,5,8,124.24,0,0,0
139,1672,39.41,Senegal,Transfer,Mobile,14,12,56.47,0,0,0
140,631,493.64,Germany,Cash Withdrawal,Tablet,22,24,69.16,0,1,0
141,1935,69.16,France,Online Payment,Tablet,4,12,116.66,0,0,0
142,2082,109.48,Portugal,Transfer,Mobile,8,7,168.65,0,0,0
143,1393,233.01,Spain,Cash Withdrawal,Mobile,9,10,126.57,0,2,0
144,2376,148.74,Portugal,Online Payment,Mobile,14,25,91.31,0,0,0
145,2261,31.95,Spain,Online Payment,Web,10,37,52.2,0,2,0
146,979,63.24,Spain,Online Payment,Mobile,13,7,315.1,1,2,0
147,2889,264.4,Germany,Online Payment,Tablet,20,19,89.89,0,0,0
148,152,356.68,France,Cash Withdrawal,Mobile,14,23,39.41,1,1,0
149,63,139.31,Portugal,Transfer,Web,20,18,111.17,0,0,0
150,3202,160.46,United Kingdom,Cash Withdrawal,Tablet,22,3,153.1,0,3,0
151,1346,444.27,Portugal,Online Payment,Web,20,35,60.2,0,2,0
152,3574,182.77,Spain,Card Payment,Tablet,2,13,111.68,0,0,0
153,1178,91.98,France,Card Payment,Web,3,21,46.5,0,1,0
154,412,193.41,Germany,Transfer,Tablet,9,33,64.7,0,1,0
155,3262,642.3,Senegal,Cash Withdrawal,Web,11,16,116.42,0,0,0
156,1688,140.22,Spain,Transfer,Mobile,5,14,118.3,1,2,0
157,2539,91.68,Portugal,Transfer,Web,18,22,122.48,1,2,0
158,1041,92.96,Germany,Cash Withdrawal,Tablet,0,27,78.45,0,2,0
159,1179,29.66,Portugal,Transfer,Mobile,14,31,49.82,0,4,0
160,1226,101.39,Portugal,Online Payment,Tablet,8,28,144.82,0,1,0
161,1576,171.35,Germany,Card Payment,Mobile,12,22,129.41,0,1,0
162,2865,43.75,United Kingdom,Card Payment,Tablet,12,9,206.83,0,6,0
163,2810,39.48,Portugal,Card Payment,Tablet,23,25,58.82,0,1,0
164,1173,337.76,France,Cash Withdrawal,Mobile,20,24,34.54,0,2,0
165,3095,150.45,Portugal,Transfer,Tablet,3,28,115.51,0,4,0
166,1266,284.97,Germany,Card Payment,Tablet,11,14,24.76,0,4,0
167,1209,429.95,United Kingdom,Online Payment,Mobile,6,14,85.45,1,1,0
168,3980,96.99,United Kingdom,Cash Withdrawal,Mobile,8,9,69.36,0,0,0
169,3963,25.87,United Kingdom,Cash Withdrawal,Mobile,14,7,57.84,0,2,0
170,3959,209.79,France,Online Payment,Tablet,11,29,96.7,1,3,0
171,1084,138.82,Spain,Card Payment,Web,11,24,130.78,0,1,0
172,2395,866.31,Germany,Cash Withdrawal,Mobile,21,13,78.78,0,2,1
173,3622,90.13,Spain,Cash Withdrawal,Tablet,7,8,177.25,0,0,0
174,1902,281.13,Portugal,Cash Withdrawal,Tablet,13,14,160.74,1,1,0
175,153,419.06,United Kingdom,Online Payment,Mobile,3,37,76.12,0,5,0
176,1592,89.11,Germany,Cash Withdrawal,Tablet,23,18,68.1,0,1,0
177,2406,118.33,Portugal,Transfer,Web,20,37,80.59,1,2,0
178,1672,145.33,United Kingdom,Card Payment,Tablet,11,32,135.08,0,2,0
179,968,193.86,United Kingdom,Card Payment,Tablet,11,16,156.71,0,5,0
180,1470,295.0,Senegal,Online Payment,Web,6,33,162.26,0,0,0
181,3376,90.35,Germany,Card Payment,Tablet,6,11,72.7,0,3,0
182,88,180.54,Senegal,Cash Withdrawal,Mobile,4,28,44.99,0,2,0
183,3399,203.65,Spain,Transfer,Tablet,6,41,91.41,0,3,0
184,3172,144.8,France,Card Payment,Web,4,26,122.97,0,0,0
185,3271,139.83,France,Card Payment,Tablet,0,24,98.31,1,1,0
186,3230,87.91,France,Cash Withdrawal,Mobile,5,1,196.18,0,1,0
187,1725,162.99,Spain,Card Payment,Tablet,2,14,101.63,0,3,0
188,2103,23.85,Spain,Card Payment,Web,16,7,98.83,0,2,0
189,2979,147.68,Portugal,Cash Withdrawal,Web,20,14,51.0,0,1,0
190,1962,244.19,Germany,Online Payment,Tablet,3,26,103.6,0,2,0
191,302,249.21,Senegal,Cash Withdrawal,Tablet,4,17,71.77,1,0,0
192,2594,71.14,Spain,Cash Withdrawal,Web,19,7,261.45,0,3,0
193,2480,159.84,Germany,Card Payment,Tablet,3,24,154.76,0,2,0
194,3150,173.85,Spain,Transfer,Web,14,32,147.65,0,1,0
195,3390,164.02,Germany,Online Payment,Web,23,12,48.67,1,1,0
196,2725,94.36,United Kingdom,Cash Withdrawal,Mobile,21,4,154.29,0,2,0
197,3407,84.62,Senegal,Card Payment,Web,3,1,42.51,0,3,0
198,533,223.26,Spain,Card Payment,Tablet,17,10,106.84,0,2,0
199,1683,830.16,United Kingdom,Online Payment,Tablet,1,19,150.65,0,0,0
200,1441,505.37,Senegal,Transfer,Mobile,21,22,32.3,0,0,0
201,1435,97.97,Spain,Cash Withdrawal,Mobile,8,19,98.75,0,0,0
202,3462,67.66,Spain,Card Payment,Tablet,21,37,161.5,0,1,0
203,739,372.22,United Kingdom,Cash Withdrawal,Web,11,29,113.95,1,4,0
204,2320,72.42,Portugal,Online Payment,Mobile,4,21,194.43,0,3,0
205,376,90.41,Portugal,Transfer,Web,13,22,59.21,0,3,0
206,1277,79.56,Portugal,Cash Withdrawal,Tablet,19,10,172.78,1,3,0
207,645,81.3,Spain,Card Payment,Tablet,2,22,211.59,0,3,0
208,1990,111.21,Spain,Online Payment,Web,8,4,365.42,0,4,0
209,1414,204.76,Germany,Card Payment,Web,21,4,266.65,0,1,0
210,2733,366.53,United Kingdom,Card Payment,Mobile,12,24,128.56,0,0,0
211,838,157.44,United Kingdom,Transfer,Mobile,8,17,40.84,0,2,0
212,2038,116.71,Portugal,Online Payment,Mobile,4,31,38.71,0,0,0
213,2050,163.93,Spain,Cash Withdrawal,Mobile,12,19,178.46,0,2,0
214,77,44.85,Germany,Card Payment,Web,18,19,146.38,0,1,0
215,2623,129.21,Germany,Cash Withdrawal,Mobile,12,7,199.89,1,1,0
216,3283,81.86,Spain,Online Payment,Tablet,11,35,183.12,1,0,0
217,997,239.29,Germany,Online Payment,Tablet,2,32,227.85,0,3,0
218,1391,113.11,France,Cash Withdrawal,Mobile,2,16,79.0,0,0,0
219,2089,217.48,France,Cash Withdrawal,Web,23,20,170.64,0,1,0
220,605,113.91,France,Card Payment,Mobile,8,29,135.35,0,2,0
221,3114,60.53,Portugal,Card Payment,Mobile,20,24,62.61,0,2,0
222,3113,203.45,Spain,Online Payment,Tablet,18,13,346.69,0,1,0
223,1324,243.73,Portugal,Cash Withdrawal,Mobile,14,24,120.33,1,3,0
224,1241,162.71,United Kingdom,Card Payment,Web,16,31,224.13,1,0,0
225,155,50.82,Senegal,Cash Withdrawal,Web,2,36,69.2,0,2,0
226,370,154.05,Spain,Online Payment,Web,18,19,133.92,0,5,0
227,3670,314.69,Senegal,Online Payment,Tablet,20,7,157.34,0,3,0
228,2054,212.92,France,Card Payment,Web,3,18,110.98,0,1,0
229,2926,435.11,Senegal,Transfer,Mobile,7,11,60.65,0,1,0
230,2147,21.7,Spain,Transfer,Web,11,36,201.52,0,2,0
231,3173,127.4,United Kingdom,Card Payment,Tablet,20,31,83.72,0,1,0
232,2286,119.59,Portugal,Online Payment,Web,8,34,36.8,0,3,0
233,3713,99.27,Spain,Transfer,Web,2,23,98.17,0,0,0
234,1433,189.13,United Kingdom,Online Payment,Mobile,19,3,103.65,0,1,0
235,2290,140.32,Germany,Cash Withdrawal,Mobile,21,33,190.76,0,1,0
236,2808,34.59,Spain,Card Payment,Tablet,21,10,96.08,0,0,0
237,1486,55.96,United Kingdom,Transfer,Mobile,10,25,332.94,0,0,0
238,928,145.16,France,Transfer,Mobile,9,4,143.21,0,3,0
239,3158,134.31,Spain,Card Payment,Tablet,10,15,118.32,0,2,0
240,2447,187.66,Germany,Transfer,Mobile,5,24,50.51,0,3,0
241,3314,220.9,France,Online Payment,Mobile,13,12,177.99,0,2,0
242,3972,77.61,Germany,Cash Withdrawal,Tablet,14,11,398.25,0,1,0
243,3956,201.75,Germany,Transfer,Web,21,24,98.38,0,0,0
244,1892,109.52,United Kingdom,Online Payment,Tablet,16,32,291.21,0,1,0
245,818,390.57,Spain,Transfer,Web,1,3,132.77,0,0,0
246,2272,121.31,Senegal,Card Payment,Web,2,11,293.97,0,2,0
247,3709,154.8,Spain,Transfer,Web,2,14,41.52,0,0,0
248,1848,190.7,United Kingdom,Card Payment,Web,1,14,59.81,0,1,0
249,1582,124.87,Senegal,Cash Withdrawal,Mobile,0,12,126.5,0,3,0
250,2928,35.0,Portugal,Cash Withdrawal,Mobile,4,32,53.21,1,4,0
251,1936,131.26,Portugal,Transfer,Tablet,15,13,60.68,0,1,1
252,325,201.05,Senegal,Cash Withdrawal,Mobile,4,35,91.46,0,2,0
253,2162,50.71,Germany,Card Payment,Web,7,16,227.66,0,2,0
254,1720,136.1,Portugal,Online Payment,Mobile,3,14,136.59,0,3,0
255,2196,51.6,Senegal,Transfer,Tablet,4,11,72.05,0,2,1
256,1446,100.37,France,Online Payment,Mobile,21,8,30.21,0,3,0
257,1478,129.73,Senegal,Card Payment,Web,15,19,190.84,1,3,0
258,1530,96.33,United Kingdom,Card Payment,Web,2,18,69.86,0,0,0
259,2574,53.02,Senegal,Cash Withdrawal,Mobile,1,33,113.33,0,1,0
260,2633,139.27,France,Online Payment,Tablet,15,44,91.83,0,1,0
261,259,16.11,Portugal,Online Payment,Mobile,9,20,87.97,0,0,0
262,3629,54.93,Senegal,Cash Withdrawal,Web,16,20,151.08,0,2,0
263,1940,12.05,United Kingdom,Card Payment,Tablet,6,22,130.32,0,0,0
264,196,64.42,Portugal,Cash Withdrawal,Web,3,35,228.44,0,0,0
265,1639,70.04,Portugal,Online Payment,Web,10,19,78.4,0,0,0
266,2038,87.47,United Kingdom,Cash Withdrawal,Mobile,23,13,91.7,0,1,0
267,3369,138.17,France,Cash Withdrawal,Web,3,20,142.9,1,1,0
268,1256,314.98,Germany,Online Payment,Mobile,22,1,192.6,0,0,0
269,2978,109.64,United Kingdom,Online Payment,Web,20,29,81.1,0,3,0
270,308,47.62,Portugal,Online Payment,Web,16,19,99.03,0,1,0
271,3903,242.37,Senegal,Transfer,Tablet,21,12,117.37,0,0,0
272,276,49.65,France,Cash Withdrawal,Web,12,19,155.64,0,0,0
273,629,25.33,Portugal,Online Payment,Web,11,40,53.74,0,2,0
274,564,117.68,Spain,Cash Withdrawal,Web,10,6,41.76,0,5,0
275,465,74.85,Senegal,Transfer,Web,16,38,165.13,0,0,0
276,1073,82.24,United Kingdom,Online Payment,Mobile,19,19,191.1,0,4,0
277,2012,124.66,France,Card Payment,Mobile,2,12,144.89,0,2,0
278,1824,70.66,Senegal,Cash Withdrawal,Tablet,11,22,83.69,0,0,0
279,1190,41.36,United Kingdom,Transfer,Tablet,22,10,225.94,0,1,0
280,3251,71.84,United Kingdom,Transfer,Mobile,6,31,169.25,0,1,0
281,2024,269.57,Senegal,Cash Withdrawal,Tablet,18,12,46.85,0,0,0
282,2260,403.86,France,Card Payment,Mobile,9,22,63.09,0,3,0
283,1961,389.36,Spain,Online Payment,Web,18,37,172.0,1,1,0
284,2632,195.34,Senegal,Online Payment,Web,21,25,96.91,0,1,0
285,3396,30.26,Spain,Transfer,Mobile,13,1,155.66,0,1,0
286,3406,136.75,Senegal,Transfer,Web,5,22,99.61,0,1,0
287,924,154.98,United Kingdom,Cash Withdrawal,Mobile,8,22,181.73,0,3,0
288,1125,63.38,France,Cash Withdrawal,Tablet,17,9,148.67,1,3,0
289,2425,112.67,Spain,Transfer,Mobile,21,19,179.04,0,0,0
290,1383,192.93,Spain,Card Payment,Mobile,2,32,111.36,1,3,0
291,2363,191.03,United Kingdom,Transfer,Tablet,13,2,172.78,0,2,0
292,3642,164.83,Portugal,Cash Withdrawal,Tablet,9,17,108.66,0,1,0
293,2806,340.49,Germany,Cash Withdrawal,Web,2,15,128.56,0,2,0
294,1703,39.63,Germany,Online Payment,Mobile,10,31,76.26,0,1,0
295,2943,64.85,United Kingdom,Cash Withdrawal,Web,4,26,102.25,0,1,0
296,435,169.97,United Kingdom,Transfer,Web,3,27,87.91,0,2,0
297,397,194.66,Senegal,Cash Withdrawal,Web,19,23,39.67,0,2,0
298,3696,389.85,France,Cash Withdrawal,Tablet,23,4,234.52,0,1,0
299,2041,78.14,Spain,Online Payment,Web,9,45,78.37,0,2,0
300,1611,140.84,Spain,Online Payment,Mobile,6,36,195.17,0,1,0
301,1153,120.83,Germany,Online Payment,Web,17,33,214.76,1,3,0
302,549,72.28,United Kingdom,Cash Withdrawal,Web,11,15,64.61,1,1,0
303,2302,178.4,France,Cash Withdrawal,Tablet,9,6,123.21,1,2,0
304,3131,192.75,Spain,Cash Withdrawal,Tablet,21,17,61.83,0,2,0
305,397,44.58,Germany,Cash Withdrawal,Web,17,23,47.16,0,0,0
306,816,47.49,Spain,Online Payment,Tablet,1,21,38.05,1,2,0
307,1365,277.65,Germany,Online Payment,Mobile,19,18,88.12,0,2,0
308,3815,167.57,Spain,Cash Withdrawal,Mobile,12,19,318.41,0,3,0
309,1226,54.67,Spain,Cash Withdrawal,Tablet,16,23,174.1,0,1,0
310,1228,324.26,Germany,Card Payment,Web,10,18,97.3,0,1,0
311,2391,101.37,United Kingdom,Card Payment,Tablet,15,23,190.21,0,2,0
312,3982,63.91,Spain,Transfer,Tablet,1,14,109.03,0,0,0
313,2577,17.47,Portugal,Online Payment,Mobile,21,28,171.08,0,0,0
314,2870,97.02,Senegal,Transfer,Mobile,14,22,115.86,0,2,0
315,2829,34.81,France,Online Payment,Tablet,19,14,177.07,0,0,0
316,3014,44.55,Portugal,Card Payment,Tablet,4,6,468.19,0,2,0
317,2713,67.51,Germany,Online Payment,Web,5,11,124.01,0,1,0
318,2238,304.57,United Kingdom,Cash Withdrawal,Tablet,15,24,166.64,0,0,0
319,2286,164.61,United Kingdom,Transfer,Web,9,38,104.63,0,1,0
320,2003,62.6,United Kingdom,Online Payment,Web,17,15,367.24,0,2,0
321,1121,123.55,United Kingdom,Card Payment,Tablet,21,12,98.52,0,0,0
322,1617,365.0,United Kingdom,Transfer,Web,1,13,157.82,0,1,0
323,1419,307.83,Germany,Cash Withdrawal,Tablet,15,12,46.17,0,3,0
324,1111,131.1,Spain,Cash Withdrawal,Mobile,3,23,107.86,0,1,0
325,994,115.72,Senegal,Transfer,Tablet,7,12,115.59,1,1,0
326,2939,245.93,Germany,Card Payment,Tablet,4,30,148.9,1,3,0
327,3806,28.09,France,Online Payment,Tablet,15,22,136.67,0,2,0
328,3949,363.12,United Kingdom,Cash Withdrawal,Web,20,20,183.4,1,0,0
329,2672,266.68,Spain,Transfer,Tablet,23,26,181.32,0,3,0
330,3741,86.3,France,Online Payment,Mobile,1,14,80.69,0,2,0
331,2030,632.71,France,Cash Withdrawal,Mobile,0,9,111.56,0,4,0
332,3803,376.07,United Kingdom,Cash Withdrawal,Web,20,8,94.33,0,0,0
333,3845,314.16,France,Online Payment,Web,6,45,155.68,0,0,0
334,2995,157.69,Germany,Cash Withdrawal,Tablet,5,11,157.25,1,4,0
335,1209,348.52,Spain,Transfer,Mobile,19,18,30.78,0,2,0
336,3388,74.72,Germany,Cash Withdrawal,Mobile,12,25,66.42,0,1,0
337,576,77.31,Germany,Cash Withdrawal,Mobile,0,15,73.87,0,3,0
338,3088,23.96,United Kingdom,Cash Withdrawal,Web,18,18,229.31,0,2,0
339,2678,47.31,United Kingdom,Transfer,Mobile,21,31,83.2,1,0,0
340,1661,142.73,Portugal,Cash Withdrawal,Tablet,3,15,150.59,0,2,0
341,1506,134.44,Spain,Transfer,Mobile,4,39,60.33,0,0,0
342,2482,70.65,United Kingdom,Online Payment,Tablet,17,30,49.9,0,5,0
343,3285,151.13,Portugal,Transfer,Mobile,21,26,61.57,0,1,0
344,336,137.02,Spain,Online Payment,Tablet,22,21,212.8,0,2,0
345,460,79.18,Senegal,Transfer,Tablet,17,19,134.18,1,2,0
346,2132,141.51,Germany,Card Payment,Tablet,6,21,132.98,0,1,0
347,3682,247.38,Spain,Online Payment,Mobile,14,14,163.31,1,0,0
348,2310,89.19,Senegal,Online Payment,Tablet,9,23,331.26,0,0,0
349,3345,26.89,Senegal,Transfer,Tablet,2,17,41.94,1,1,0
350,262,226.65,Spain,Card Payment,Mobile,15,24,188.57,1,2,0
351,3150,111.77,France,Online Payment,Web,12,18,114.67,0,0,0
352,1547,307.82,Germany,Card Payment,Tablet,21,23,220.99,0,0,0
353,3524,265.11,United Kingdom,Card Payment,Mobile,17,25,123.19,0,1,0
354,913,270.65,Senegal,Card Payment,Web,14,13,36.66,0,3,0
355,2179,441.34,Germany,Transfer,Mobile,14,33,294.12,0,1,0
356,3840,220.02,Portugal,Card Payment,Mobile,21,17,66.29,0,3,0
357,3620,125.82,Senegal,Transfer,Mobile,2,36,75.67,1,1,1
358,2449,141.98,Portugal,Card Payment,Mobile,23,13,107.53,1,0,0
359,2211,101.88,France,Card Payment,Mobile,16,1,144.2,0,1,0
